Idea_Name,Idea_Description,Character_Count_Header,Character_Count_Description,Capitals,Layout,Headline_Positioning,Number_of_Images,Body_Font,Heading_Font,Heading_Size,Body_Size,Image_Theme
NEW [Brand] Milk Swirls Bath Bomb Orange Creamsicle Bath Bomb,"Give your skin a treat with our pampering bath bombs, infused with [RTB]. Our ultra gentle and milky lather surrounds you with a delicious scent and instantly nourish skin leaving it feeling soft and smooth",61,208,Not_Capitals,Layout_2,Above_Central_Heading_Position,3,Century_Gothic_Font,Century_Gothic_Font,24,18,Food_Image_Theme
NEW [Brand] Milk Swirls Bath Bomb Lavender White Chocolate Bath Bomb,"Give your skin a treat with our pampering bath bombs, infused with [RTB]. Our ultra gentle and milky lather surrounds you with a delicious scent and instantly nourish skin leaving it feeling soft and smooth",68,208,Not_Capitals,Layout_2,Above_Central_Heading_Position,3,Century_Gothic_Font,Century_Gothic_Font,24,18,Food_Image_Theme
NEW [Brand] Milk Swirls Bath Bomb CrÃ¨me Brulee Bath Bomb ,"Give your skin a treat with our pampering bath bombs, infused with [RTB]. Our ultra gentle and milky lather surrounds you with a delicious scent and instantly nourish skin leaving it feeling soft and smooth",58,208,Not_Capitals,Layout_2,Above_Central_Heading_Position,3,Century_Gothic_Font,Century_Gothic_Font,24,18,Food_Image_Theme
NEW [Brand] Milk Swirls Bath Bomb Mint Chocolate Bath Bomb,"Give your skin a treat with our pampering bath bombs, infused with [RTB]. Our ultra gentle and milky lather surrounds you with a delicious scent and instantly nourish skin leaving it feeling soft and smooth",58,208,Not_Capitals,Layout_2,Above_Central_Heading_Position,3,Century_Gothic_Font,Century_Gothic_Font,24,18,Food_Image_Theme
NEW [Brand] Milk Swirls Bath Bomb Pumpkin Custard Bath Bomb,"Give your skin a treat with our pampering bath bombs, infused with [RTB]. Our ultra gentle and milky lather surrounds you with a delicious scent and instantly nourish skin leaving it feeling soft and smooth",59,208,Not_Capitals,Layout_2,Above_Central_Heading_Position,3,Century_Gothic_Font,Century_Gothic_Font,24,18,Food_Image_Theme
NEW [Brand] Milk Swirls Bath Bomb Lemon Meringue Bath Bomb,"Give your skin a treat with our pampering bath bombs, infused with [RTB]. Our ultra gentle and milky lather surrounds you with a delicious scent and instantly nourish skin leaving it feeling soft and smooth",58,208,Not_Capitals,Layout_2,Above_Central_Heading_Position,3,Century_Gothic_Font,Century_Gothic_Font,24,18,Food_Image_Theme
NEW [Brand] Milk Swirls Bath Bomb Key Lime & Coconut Cream Bath Bomb,"Give your skin a treat with our pampering bath bombs, infused with [RTB]. Our ultra gentle and milky lather surrounds you with a delicious scent and instantly nourish skin leaving it feeling soft and smooth",68,208,Not_Capitals,Layout_2,Above_Central_Heading_Position,3,Century_Gothic_Font,Century_Gothic_Font,24,18,Food_Image_Theme
NEW [Brand] Milk Swirls Bath Bomb Peaches & Cream Bath Bomb,"Give your skin a treat with our pampering bath bombs, infused with [RTB]. Our ultra gentle and milky lather surrounds you with a delicious scent and instantly nourish skin leaving it feeling soft and smooth",59,208,Not_Capitals,Layout_2,Above_Central_Heading_Position,3,Century_Gothic_Font,Century_Gothic_Font,24,18,Food_Image_Theme
NEW [Brand] Milk Swirls Bath Bomb Dark Chocolate Coconut Bath Bomb,"Give your skin a treat with our pampering bath bombs, infused with [RTB]. Our ultra gentle and milky lather surrounds you with a delicious scent and instantly nourish skin leaving it feeling soft and smooth",66,208,Not_Capitals,Layout_2,Above_Central_Heading_Position,3,Century_Gothic_Font,Century_Gothic_Font,24,18,Food_Image_Theme
NEW [Brand] Milk Swirls Bath Bomb Butterscotch Roasted Pear Bath Bomb,"Give your skin a treat with our pampering bath bombs, infused with [RTB]. Our ultra gentle and milky lather surrounds you with a delicious scent and instantly nourish skin leaving it feeling soft and smooth",69,208,Not_Capitals,Layout_2,Above_Central_Heading_Position,3,Century_Gothic_Font,Century_Gothic_Font,24,18,Food_Image_Theme
NEW [Brand] Milk Swirls Bath Bomb Sea Salt Caramel Ribbons Bath Bomb,"Give your skin a treat with our pampering bath bombs, infused with [RTB]. Our ultra gentle and milky lather surrounds you with a delicious scent and instantly nourish skin leaving it feeling soft and smooth",68,208,Not_Capitals,Layout_2,Above_Central_Heading_Position,3,Century_Gothic_Font,Century_Gothic_Font,24,18,Food_Image_Theme
NEW [Brand] Milk Swirls Bath Bomb Orange Burnt Sage Bath Bomb,"Give your skin a treat with our pampering bath bombs, infused with [RTB]. Our ultra gentle and milky lather surrounds you with a delicious scent and instantly nourish skin leaving it feeling soft and smooth",61,208,Not_Capitals,Layout_2,Above_Central_Heading_Position,3,Century_Gothic_Font,Century_Gothic_Font,24,18,Food_Image_Theme
NEW [Brand] Milk Swirls Bath Bomb Cacao Sea Salt Bath Bomb,"Give your skin a treat with our pampering bath bombs, infused with [RTB]. Our ultra gentle and milky lather surrounds you with a delicious scent and instantly nourish skin leaving it feeling soft and smooth",58,208,Not_Capitals,Layout_2,Above_Central_Heading_Position,3,Century_Gothic_Font,Century_Gothic_Font,24,18,Food_Image_Theme
NEW [Brand] Milk Swirls Bath Bomb Deep Moisture Cream Bath Bomb,"Give your skin a treat with our pampering bath bombs, infused with [RTB]. Our ultra gentle and milky lather surrounds you with a delicious scent and instantly nourish skin leaving it feeling soft and smooth",63,208,Not_Capitals,Layout_2,Above_Central_Heading_Position,3,Century_Gothic_Font,Century_Gothic_Font,24,18,Food_Image_Theme
NEW [Brand] Milk Swirls Bath Bomb Coconut Oil & Almond Milk Bath Bomb,"Give your skin a treat with our pampering bath bombs, infused with [RTB]. Our ultra gentle and milky lather surrounds you with a delicious scent and instantly nourish skin leaving it feeling soft and smooth",69,208,Not_Capitals,Layout_2,Above_Central_Heading_Position,3,Century_Gothic_Font,Century_Gothic_Font,24,18,Food_Image_Theme
NEW [Brand] Milk Swirls Bath Bomb Avocado Oil & Calendula Extract Bath Bomb,"Give your skin a treat with our pampering bath bombs, infused with [RTB]. Our ultra gentle and milky lather surrounds you with a delicious scent and instantly nourish skin leaving it feeling soft and smooth",75,208,Not_Capitals,Layout_2,Above_Central_Heading_Position,3,Century_Gothic_Font,Century_Gothic_Font,24,18,Food_Image_Theme
"New 
DETOX MASK 
with pomegranate enzymes","Give your skin a treat with our pampering bath bombs, infused with [RTB]. Our ultra gentle and milky lather surrounds you with a delicious scent and instantly nourish skin leaving it feeling soft and smooth",41,208,Not_Capitals,Layout_3,Top_Central_Heading_Position,1,Helvetica_Neue_Font,Helvetica_Neue_Font,32,20,Product_Image_Theme
 NEW [Brand] Milk Swirls Bath Bomb Matcha & Sakura Bath Bomb,"Give your skin a treat with our pampering bath bombs, infused with [RTB]. Our ultra gentle and milky lather surrounds you with a delicious scent and instantly nourish skin leaving it feeling soft and smooth",60,208,Not_Capitals,Layout_2,Above_Central_Heading_Position,3,Century_Gothic_Font,Century_Gothic_Font,24,18,Flowers_Image_Theme
NEW [Brand] Milk Swirls Bath Bomb Deep Moisture Cream Bath Bomb,"Give your skin a treat with our pampering bath bombs, infused with [RTB]. Our ultra gentle and milky lather surrounds you with a delicious scent and instantly nourish skin leaving it feeling soft and smooth",63,208,Not_Capitals,Layout_2,Above_Central_Heading_Position,3,Century_Gothic_Font,Century_Gothic_Font,24,18,Food_Image_Theme
"100% 
PLANT POWERED 
HERBAL THERAPY","The new and improved [Brand]shower and bath ranges.
made with 100% plant powered herbal therapy for body and mind",37,113,Capitals,Layout_4,Top_Right_Heading_Position,5,Calibri_Light_Font,Aharoni_Font,32,31,Relax_Image_Theme
"UNIQUE
HERBAL 
BLEND","The new and improved [Brand] shower and bath ranges 
with our unique herbal blend is therapy for your body & mind",22,113,Capitals,Layout_5,Top_Central_Heading_Position,3,Calibri_Light_Font,Bahnschrift_Light_Font,32,36,Sun_Image_Theme
100% Organic Natural,"The new and improved [Brand]shower and bath ranges, 
made with our certified organic natural blend is therapy for body and mind",20,127,Not_Capitals,Layout_7,Top_Central_Heading_Position,4,Calibri_Light_Font,Font_in_Image,24,36,Sun_Image_Theme
happy,"The new and improved [Brand] shower and bath ranges 
with our plant based herbal blend for positive body and mind, 
helps you to do what makes you happy 

Radox #raisethevibe #resetthevibe #restorethevibe",5,204,Not_Capitals,Layout_7,Top_Right_Heading_Position,6,Calibri_Light_Font,Font_in_Image,24,28,Plants_Image_Theme
New Brand,"[Brand] Great each day with a good mood, powered by our reviving herbal blend.",9,78,Not_Capitals,Layout_8,Bottom_Right_Heading_Position,5,Calibri_Light_Font,Font_in_Image,24,30,Happiness_Image_Theme
Feel Good,"The new and improved[Brand]shower and bath ranges stimulate your senses and boost your mood with 
our unique organic herbal blend.",9,130,Not_Capitals,Layout_7,Top_Central_Heading_Position,3,Calibri_Light_Font,Font_in_Image,24,32,Sun_Image_Theme
Nothing,Unleash the plant power of [Brand] revitalising herbal blend,0,60,Not_Capitals,Layout_9,Top_Left_Heading_Position,5,Calibri_Light_Font,Font_in_Image,24,32,Plants_Image_Theme
Nothing,The new and improved [Brand] shower and bath ranges made with 100% certified Organic herbal blend to get you ready for whatever is next,0,135,Not_Capitals,Layout_7,Top_Central_Heading_Position,4,Calibri_Light_Font,Font_in_Image,24,32,Happiness_Image_Theme
"UNIQUE BLEND OF HERBS, MINERALS & NATURAL GLYCERINE","The new and improved certified vegan [Brand]shower and bath ranges.
Revitalise your body and mind with our unique blend of herbs, minerals & natural glycerine.",51,159,Capitals,Layout_7,Middle_Central_Heading_Position,3,Calibri_Light_Font,Bahnschrift_Light_Font,20,28,Sun_Image_Theme
Looks dirtier but Feels Cleaner,"The all new and improved shower and bath ranges 
with our plant powered herbal blend.
Looks dirtier, but feels cleaner. 
Now made with recycle plastic",31,154,Not_Capitals,Layout_7,Top_Right_Heading_Position,4,Calibri_Light_Font,Font_in_Image,24,32,Bottles_Image_Theme
Planet power compassion sustain ability,"The new and improved [Brand] shower and bath ranges.
Contains a 100% Plant powered herbal blend to help you get the most out of life 
& our bottles are made from 100% recycle plastic, 
now thatâs a mood lifter!",39,213,Not_Capitals,Layout_7,Top_Central_Heading_Position,3,Calibri_Light_Font,Font_in_Image,24,24,Party_Image_Theme
Less Plastic is Fantastic!,"New and Improved [Brand]Shower Range made with 
a 100% plant powered herbal blend.
No Hook! It's my new look, which means I use less plastic so Iâm kinder to our earth. ",26,171,Not_Capitals,Layout_7,Top_Central_Heading_Position,3,Calibri_Light_Font,Font_in_Image,24,28,Plants_Image_Theme
Enjoy Share Recycle,"New and Improved [Brand] Vegan Shower & Bath Ranges. 
Revitalising therapy for body & mind powered by plants

This bottle could be someone else's revitalising moment,  please recycle me. ",19,187,Not_Capitals,Layout_7,Top_Right_Heading_Position,3,Calibri_Light_Font,Font_in_Image,24,28,Recycle_Image_Theme
"BETTER FOR YOU.
BETTER FOR THE 
PLANET.","New and Improved [Brand] shower & Bath Ranges. 
Our plant based revitalising blend stimulates your senses and comes in 100% recycle plastic bottles.

Better for you. Better for the planet.",41,187,Capitals,Layout_7,Top_Right_Heading_Position,3,Calibri_Light_Font,Font_in_Image,24,28,Plants_Image_Theme
"[Brand]Cleansing Care
Body Wipes","Perfect for cleansing on the go, these super soft moist wipes infused with [RTB] instantly clean, refresh and deodorize while leaving skin soft and rejuvenated",32,159,Not_Capitals,Layout_9,Top_Central_Heading_Position,2,Calibri_Font,Font_in_Image,24,24,Recycle_Image_Theme
[Brand] Shower Drops,A different way to shower. Each drop has 4X more natural nourishs but none of the fillers. dissolve instantly in warm water it transforms into a rich creamy lather that leaves you skin feeling soft and rejuvenated.,20,218,Not_Capitals,Layout_9,Top_Right_Heading_Position,2,Calibri_Font,Calibri_Font,24,24,Product_Image_Theme
[Brand]Hand wash strips,"[Brand]Pocket friendly packs contain cleansing strips, infused with skin natural nourishs that instantly dissolve in water to gentle cleanse and nourish hands. Perfect for use on the go or while travelling.  ",23,210,Not_Capitals,Layout_9,Top_Right_Heading_Position,2,Calibri_Font,Calibri_Font,24,24,Product_Image_Theme
[Brand]Body Polish Collection,"Customized for skins needs, a scrub that cares while exfoliating
Fine: for everyday use,with fine exfoliants; Deep for a deeper clean, with sugar grains; Extra-Deep for tough patches on heels, made with ground coffee",29,229,Not_Capitals,Layout_9,Top_Right_Heading_Position,2,Calibri_Font,Calibri_Font,24,24,Product_Image_Theme
[Brand]Botanica Body Wash Collection ,"Power of botanicals for your skins special needs:
Clarifying acne prone skin: with licorice root to polish away impurities and prevent future break outs; Soothing eczema prone skin: with witchhazel to calm inflamed skin",37,224,Not_Capitals,Layout_9,Top_Right_Heading_Position,2,Calibri_Font,Calibri_Font,24,24,Product_Image_Theme
[Brand]Cleansing Double Butter ,"Say goodbye to rough, dry skin!
Made with moisturizing double butters, it conditions your skin while it cleanses with 2x the moisture of a regular body wash, leaving skin smooth and nourish.",31,193,Not_Capitals,Layout_9,Top_Right_Heading_Position,2,Calibri_Font,Calibri_Font,24,24,Product_Image_Theme
